participant_id,qualtrics_id,treatment,enrolment,education,programming_experience,language_confidence,pretest_q1,pretest_q1_mark,pretest_q2,pretest_q2_mark,pretest_q3,pretest_q3_mark,pretest_q4,pretest_q4_mark,pretest_q5,pretest_q5_mark,warmup-p2-time_Page Submit,warmup-p2-q1,warmup-p2-q2,warmup-p3-time_Page Submit,warmup-p3-q1,WarmupQ3mark,code_explanation,code_explanation_confidence,EPE1,EPE2,EPE3,EPE4,EPE5,EPE6,EPE7,EPE8,EPE9,EPE10,EPE11,code_reading_time,code_trace_q1_time,code_trace_q1,code_trace_q1_mark,code_trace_q2_time,code_trace_q2,code_trace_q2_mark,code_trace_q3_time,code_trace_q3,code_trace_q3_mark,code_trace_q4_time,code_trace_q4,code_trace_q4_mark,code_trace_q5_time,code_trace_q5,code_trace_q5_mark,code_trace_q6_time,code_trace_q6,code_trace_q6_mark,code_understanding_time,code_understanding,code_understanding_comment,code_compare_time,code_compare_preference,code_compare_comments,post-comments,Q_TotalDuration
SFMF-Java-CS701-2023-0042,R_31aPN5HtEz1T2l8,WeatherSingle,COMPSCI 700,"Self taught (writing code not just for course exercises),Significant own projects (beyond just learning a language)",LARGE,MEDIUM,2,1,"10
9
8
7
6",1,3,1,false,1,"[1, 2, 3]",1,77.661,Finding the mean of numbers that less or equals to 10 in an array.,High,37.308,Unsure,0,"Filtering invalid data from original data set. Then use valid data to compute the average rainfall, average humidity and rainfall days.",HIGH,1,1,1,1,0,1,0,0,0,0,0,234.125,71.179,"[1, 1, 3]",1,26.172,"[0, 0, 0]",1,121.458,"[1, 1, 2]",1,32.045,"[ [0,-999], [0,0], [1,2] ]",1,74.669,21-26,1,NA,NA,NA,36.839,VERY-EASY,Every step was well commented.,308.267,SINGLE,"More precise comments are easier to understand than methods' names. The namings of Version 2 are too abstract to understand. For example, it took more time to understand calling countPositive() is for counting rainy days.",The understanding of Version 1 may accelerate the understanding of Version 2. This may result in a different impression of Version 2 than Version 1. Is it possible to consider using similar logic but different scenarios to avoid this?,2070
SFMF-Java-CS701-2023-0044,R_2AQMW7g6u3vpLdq,WeatherSingle,COMPSCI 700,"University courses only,Non university courses (formal exercises, e.g. high school, on-line courses)",SMALL,LOW,2,1,"10
9
8
7
6",1,3,1,false,1,"[1, -1, 2, -2, 3, -3]",0,107.661,The program is used to calculate the average of 10 or less in a list of int types,High,52.008,None,0,"Calculate the average rainfall, average humidity, and number of rainy days for a given weather data",HIGH,1,1,1,0,0,0,0,0,0,0,0,208.545,192.967,"[1, 1, 3]",1,56.311,"[0, 0, 0]",1,27.744,"[1, 1, 2]",1,61.742,"[ [0,-999], [0,0], [1,2] ]",1,33.494,21-26,1,NA,NA,NA,10.626,NEUTRAL,NA,306.788,MULTIPLE,"Version 2 calculates through multiple small functions, and updates the mental model more quickly through function names compared to annotations. Each function only does one thing, which also helps improve comprehensibility.",Can provide more code examples for investigation,2061
SFMF-Java-CS701-2023-0047,R_2WPjh5WZXK0PHpl,WeatherSingle,COMPSCI 700,"University courses only,Self taught (writing code not just for course exercises),Significant own projects (beyond just learning a language)",SMALL,MEDIUM,2,1,"10
9
8
7
6",1,3,1,false,1,"[1, 2, 3]",1,293,"Define a 'WarmUp' class and calculate the average of values in the numbers array that are less than or equal to 10, using the 'main' method.",Medium,65.464,2,1,The primary purpose of this Java class is to process and analyze meteorological data over a certain period. It offers a method to analyze and extract key statistical information from a specific weather dataset.,MEDIUM,0,0,0,0,0,0,0,0,1,1,1,124.336,71.559,"[1, 1, 3]",1,42.436,"[0, 0, 0]",1,59.876,"[1, 1, 2]",1,188.336,"[ [0,-999], [0,0], [1,2] ]",1,49.764,21-26,1,NA,NA,NA,31.677,NEUTRAL,NA,170.665,MULTIPLE,"Because it have a top-level function 'processData', and including every main function.",NA,1788
SFMF-Java-CS701-2023-0055,R_OPVt6bRzkq1Jb1L,WeatherSingle,COMPSCI 700,"University courses only,Non university courses (formal exercises, e.g. high school, on-line courses),Self taught (writing code not just for course exercises),Significant own projects (beyond just learning a language),Industry experience",NONE,LOW,2,1,"6
7
8
9
10",0,3,1,Unsure,0,Unsure,0,185.235,"We are trying to calculate the average/mean of numbers however, only the numbers which were less than or equal to 10 were considered.",High,45.819,2,1,"We are calculating averagerainfall, averagehumidity and averagedays it rains from a list of data of rain and humidity of different instances(can be of each day or each month).",MEDIUM,1,1,1,0,0,0,0,0,0,1,1,583.832,73.713,"[1, 1, 3]",1,13.916,"[0, 0, 0]",1,126.26,"[1, 1, 2]",1,60.778,"[ [0,0], [1,1], [1,-999] ]",0,27.37,21-26,1,NA,NA,NA,189.325,NEUTRAL,"I didnt have experience in Java so for me it was not easy to interpret the code due to not knowing about syntax and functions of Java . Since, I had experience in other different coding languages (python,c++, python played more role as it calls it's array as list), I was able to interpret what the code was trying to do and after reading the whole code I was able to interepret what the functions were trying to do.",160.014,SINGLE,one version took less effort as there were comments telling what it each section of code was trying to do and it felt like going in a sequence making it easier to comprehend.,NA,2155
SFMF-Java-CS701-2023-0056,R_1gMaWWNJXHWSpna,WeatherSingle,COMPSCI 700,"University courses only,Self taught (writing code not just for course exercises),Significant own projects (beyond just learning a language)",MEDIUM,MEDIUM,2,1,"10
9
8
7
6",1,3,1,false,1,"[1, 2, 3]",1,297.612,"One high-level function takes an array as the argument and returns a Double object. There are 2 following sub-functions called for getting the sum of the number in the array if the number is greater than or equal10, and also the count of the numbers greater or equal to 10. The first function returns the double object which is the result of the sum divided by the count getting from the sub-functions.",High,91.434,2,1,"The function uses the array list as the input and truncates and validates the data before getting the result. At last, the average rainfall, average humidity, and the number of rainy days are returned in an array.",HIGH,1,1,1,1,1,0,0,1,0,1,0,315.188,68.336,"[1, 1, 3]",1,120.714,"[0, 0, 0]",1,42.722,"[1, 1, 2]",1,52.476,"[ [0,-999], [0,0], [1,2] ]",1,58.449,21-26,1,NA,NA,NA,127.544,EASY,"Even though the code is not optimal for understanding, the statements/ word choice using the code makes the assimilation process more effective and efficient. The logic of the code is really straightforward accompanying with the comments.",151.419,SINGLE,"You do not have to update your mental model after each function is implemented. The process for getting the final result is really straightforward. However, in version 2, you have to check the different arguments in each function.","It is interesting that a large function for me is more effective to understand. Smaller functions actually take more effort. However, during our previous learning, we should assume that the small functions after breaking down should be better for developers to understand.",2307
SFMF-Java-CS701-2023-0059,R_2TzxVhaPnXvff8q,WeatherSingle,COMPSCI 700,University courses only,SMALL,MEDIUM,2,1,"10
9
8
7
6",1,3,1,false,1,"[1, 2, 3]",1,298.747,"The provided code analyzes an array of integers. It uses the main method to calculate and return the average of the numbers in the array that are less than or equal to 10. To do this, it employs the sumNumbers method to determine the sum of these numbers and the countNumbers method to determine how many of these numbers there are.",High,40.166,2,1,"The code processes a set of data, filtering for valid rainfall and humidity entries up to the END_OF_DATA marker. It calculates the average rainfall and humidity, counts the rainy days, and returns these statistics in an array.",MEDIUM,1,1,1,1,1,1,0,1,0,1,0,144.615,38.454,"[1, 1, 3]",1,26.507,"[0, 0, 0]",1,40.728,"[1, 1, 2]",1,218.206,"[ [0,-999], [0,0], [1,2] ]",1,48.538,21-26,1,NA,NA,NA,107.546,NEUTRAL,More detailed comments may better to understand and some variable names could be more descriptive.,285.222,MULTIPLE,"Version 2 breaks down the main method ""processData"" into some helper methods (truncateToEndOfData, getValidData, averageData, and countPositive). This makes more readable and would take less effort to understand.",This study is really interesting.,2030
SFMF-Java-CS701-2023-0003,R_uyoppg2FiqT70v7,WeatherMultiple,SOFTENG 700,"University courses only,Non university courses (formal exercises, e.g. high school, on-line courses),Self taught (writing code not just for course exercises),Significant own projects (beyond just learning a language)",SMALL,MEDIUM,2,1,"10
9
8
7
6",1,3,1,false,1,"[1, 2, 3]",1,41.028,"Finds the average of all numbers below or equal to 10 from a list of numbers, as if the other numbers didn't exist",High,20.195,2,1,Gets average rainfall and average humidity over a set of rainy days,MEDIUM,1,1,0,0,0,0,0,0,0,0,1,63.616,108.928,"[1, 1, 3]",1,5.239,"[0, 0, 0]",1,15.664,"[1, 1, 2]",1,16.5,"[ [0,-999], [0,0], [1,2] ]",1,15.216,33-41,1,NA,NA,NA,107.653,DIFFICULT,"It's intimidating with so many stacked arrow brackets and lots of jumping around. If I wasn't already familiar with the rainfall problem I would only have a very vague guess about what it does, though the double[] result definition goes a long way in figuring it out. Before that point though it's really hard, the names are really vague.",98.971,SINGLE,"The comments give context to what each block is doing, and all being in one big list rather than seperate functions means I'm not worried about if a function is re-used. I don't have to keep a block in my head after i've gone past it, and I don't need to read the code at all to get a high level understanding of the process.","I participated in the study in Compsci 747 in Semester 1 2023. I felt like I could rely on prior knowledge of the rainfall problem to do a lot of the heavy lifting in the exercise, but maybe that was the point :P",929
SFMF-Java-CS701-2023-0009,R_12DtxloP9ykv49R,WeatherMultiple,COMPSCI 700,"University courses only,Non university courses (formal exercises, e.g. high school, on-line courses),Self taught (writing code not just for course exercises),Significant own projects (beyond just learning a language),Industry experience,Open-source contributor",SMALL,LOW,2,1,"10
9
8
7
6",1,3,1,false,1,"[1, 2, 3]",1,35.696,"It returns the average value of numbers with a value less than or equal to 10.0, given an array of integers.",High,29.796,2,1,"Validates input data and calculates the average rainfall, humidity, and the total number of days which had any rainfall.",HIGH,1,1,1,1,0,0,0,0,0,0,0,174.778,51.655,"[1, 1, 3]",1,11.49,"[0, 0, 0]",1,12.917,"[1, 1, 2]",1,32.383,"[ [0,-999], [0,0], [1,2] ]",1,28.657,33-41,1,NA,NA,NA,127.729,EASY,"The use of raw List<Integer> rather than a data class adds complexity and clouds context schema with design schema, particularly with the use of constants for indexes to data. Additionally the name ""RAINFALL_POS"" is not entirely descriptive, and requires a thorough understanding of the code to interpret, whereas a name such as ""RAINFALL_INDEX"" would be much easier and faster to understand.",125.904,SINGLE,"The process is entirely linear; hence a single function is all that is required. Additionally, the removal of function names and parameters and return types reduces clutter significantly, whilst the addition of easily parse-able comments eases  the speed of understanding code blocks.","Several questions ask for data that is passed to the `main()` function, however the provided code implements a `processData()` function, and no `main()` function is present.",1328
SFMF-Java-CS701-2023-0015,R_3gO5ynZvVGxcgwI,WeatherMultiple,OTHER 700,"University courses only,Non university courses (formal exercises, e.g. high school, on-line courses),Self taught (writing code not just for course exercises),Significant own projects (beyond just learning a language),Industry experience",MEDIUM,MEDIUM,2,1,Unsure,0,3,1,false,1,"[1, 2, 3]",1,77.535,The code takes a list of integers. Add all the numbers greater than 10. Calculates the average of the sum.,Medium,33.601,2,1,The code takes in rainfall and humidity data. Validates the data.,LOW,0,0,0,1,0,0,0,0,0,0,0,334.337,43.254,"[1, 3, 1]",0,10.963,"[-3, -3, 2]",0,5.161,"[2, 2, -999]",0,5.599,"[ [-1,-1], [1,1], [1,2] ]",0,63.537,33-41,1,NA,NA,NA,51.392,VERY-DIFFICULT,I,106.1,SINGLE,Th comments in version 1 make the overall code easier to comprehend,NA,1488
SFMF-Java-CS701-2023-0017,R_AopCqPXQPIGrl8R,WeatherMultiple,COMPSCI 700,"University courses only,Self taught (writing code not just for course exercises)",LARGE,HIGH,A NullPointerException will be thrown,0,"10
9
8
7
6",1,1,0,false,1,Unsure,0,61.048,"It is a program for calculating sums, and counting numbers. The program has three functions that each do one task.",Medium,138.036,2,1,"The program is designed to calculate average rainfall, average humidity and rainy days. The program is well structured and has individual functions to calculate the count and averages for better reading and maintainability.",MEDIUM,1,1,1,0,0,0,0,0,0,1,0,191.946,113.329,"[1, 1, 1]",0,51.688,"[0, 0, 0]",1,12.366,"[0, 0, 0]",0,17.438,"[ [0,0], [1,1], [1,-999] ]",0,38.057,33-41,1,NA,NA,NA,71.106,EASY,"The code is well structured, with clear variable names and a good flow of functions. All the functions are trying to do one task in them, and they are divided.",130.648,MULTIPLE,"Because version 2 has individual functions that are much easier to follow and understand compare to version one, which is one function and separated by comments.",NA,1404
SFMF-Java-CS701-2023-0019,R_3EtXKx1MSf5y9Bg,WeatherMultiple,COMPSCI 700,"University courses only,Non university courses (formal exercises, e.g. high school, on-line courses)",MEDIUM,MEDIUM,2,1,"10
9
8
7
6",1,3,1,false,1,"[1, 2, 3]",1,83.379,The double main() method used sumDouble() and countDouble() functions to return the mean of numbers less than or equal to 10.,High,28.914,2,1,"Produce average rainfall, average humidity and rainy days as a list, using a list of original data.",HIGH,1,1,1,0,0,0,0,0,1,0,0,124.315,155.026,"[1, 1, 3]",1,112.602,"[0, 0, 0]",1,190.534,"[1, 1, 2]",1,44.961,"[ [0,0], [-1,-1], [1,2] ]",0,22.205,55-63,0,NA,NA,NA,10.331,DIFFICULT,NA,12.028,SINGLE,NA,NA,1538
SFMF-Java-CS701-2023-0020,R_2b3Ib4CnfzJYtLO,WeatherMultiple,OTHER 700,"Significant own projects (beyond just learning a language),Industry experience",LARGE,MEDIUM,2,1,"10
9
8
7
6",1,2,0,false,1,"[1, 2, 3]",1,124.074,There are two functions. One is to receive a list of numbers and calculate the sum of the input number. One is for calculating the total number of input number,High,22.829,2,1,It can tell us if a day whether raining and humidity.,MEDIUM,0,0,0,0,0,0,0,0,0,0,1,184.525,145.196,"[1, 1, 3]",1,32.901,"[0, 0, 0]",1,97.387,"[1, 1, -999]",0,163.561,"[ [0,0], [1,1], [1,-999] ]",0,28.865,33-41,1,NA,NA,NA,8.316,NEUTRAL,NA,146.013,MULTIPLE,"I already have some knowledge of Java, so I can understand the meaning of each function by its name. The interface may take some time to read and understand.",I think the comments and a function name that is easy to understand both are important.,1567
SFMF-Java-CS701-2023-0024,R_2wt9uRHdMBsy7AW,WeatherMultiple,COMPSCI 700,"University courses only,Self taught (writing code not just for course exercises),Significant own projects (beyond just learning a language),Industry experience",NONE,VERY-LOW,2,1,Unsure,0,4,0,false,1,"[1, 2, 3]",1,64.384,The program return the average of the numbers by dividing the sum of the number by count of the numbers.,High,35.795,2,1,"The program return the values of average rainfall, average sunny days.",MEDIUM,1,0,0,0,0,0,0,0,0,0,1,114.267,58.149,"[1, 1, 1]",0,29.688,"[0, 0, 0]",1,23.736,"[1, 1, 2]",1,54.851,"[ [0,0], [1,1], [1,-999] ]",0,191.043,21-31,0,NA,NA,NA,49.614,NEUTRAL,NA,87.872,SINGLE,Because of the comments,NA,1495
SFMF-Java-CS701-2023-0025,R_XhXDhEInofr7h0B,WeatherMultiple,COMPSCI 700,University courses only,SMALL,LOW,2,1,"10
9
8
7
6",1,3,1,false,1,"[1, 2, 3]",1,56.8,The main function takes an integer array of numbers and returns the average of the numbers under 10 in the array.,Medium,29.312,2,1,The code calculates the number of rainy days in a set of days and also the average number of rainy days in a set of days.,LOW,0,0,1,0,0,0,0,0,0,0,1,198.354,81.764,"[1, 1, 3]",1,31.859,"[-3, -3, 2]",0,24.134,"[1, 1, 2]",1,52.023,"[ [0,-999], [0,0], [1,2] ]",1,71.059,21-31,0,NA,NA,NA,138.202,EASY,"Easy to understand in terms when having the code to look at, however difficult to track multidimensional arraylists",176.364,SINGLE,"Version 1 would take less effort, even though there are no separate methods, the code is formatted in a way that is broken up and easier to read and get a sense of the what the overall program is doing without having to go up and down repeatedly.",NA,1490
SFMF-Java-CS701-2023-0026,R_2735MVHnT6SMKrS,WeatherMultiple,COMPSCI 700,"University courses only,Self taught (writing code not just for course exercises)",SMALL,MEDIUM,2,1,"10
9
8
7
6",1,3,1,false,1,"[1, 2, 3]",1,221.647,receive int[] argument and return the average of numbers which less than or equal to 10.,High,19.872,2,1,"first remove the invalid data, then calculate the average of rainfall and humidity ,and count the number of rainy days",MEDIUM,1,1,1,1,0,0,0,0,0,0,0,314.243,44.501,"[1, 1, 3]",1,29.469,"[0, 0, 0]",1,8.728,"[1, 1, 2]",1,80.874,"[ [0,-999], [0,0], [1,2] ]",1,40.293,33-41,1,NA,NA,NA,12.751,EASY,NA,165.566,SINGLE,useful and short comment help us to Building MM,NA,1546
SFMF-Java-CS701-2023-0030,R_3Do2XZxbIIAjrst,WeatherMultiple,OTHER 700,"University courses only,Non university courses (formal exercises, e.g. high school, on-line courses),Self taught (writing code not just for course exercises),Significant own projects (beyond just learning a language)",SMALL,LOW,1,0,"10
9
8
7
6",1,3,1,false,1,"[1, 2, 3]",1,106.288,"main function that returns the average value of the list, second function(sumnumbers) add the value till greater or equal to 10 then return,
last count how many elements are less or equal than ten",High,48.042,2,1,"the code that sorts the valid data first, then checks whether the data is updated or not and how much data are contained at least one compomenttocount, as the result, it returns the stats of humidity, average rainfall and rainy days",MEDIUM,1,0,1,1,0,0,0,0,0,0,1,288.12,365.027,"[1, 1, 3]",1,45.021,"[0, 0, 0]",1,24.927,"[2, 2, -999]",0,65.99,"[ [0,-999], [0,0], [1,2] ]",1,87.243,21-31,0,NA,NA,NA,16.665,NEUTRAL,NA,83.628,SINGLE,"because it has some docstrings so I will spend less time on it, I can think about that aspect and try to mind picture it easier.",Its interesting study especially front a few questions to refresh my knowledge and rebuild the mechanism of the java,1756
SFMF-Java-CS701-2023-0032,R_2VgVC6oxlmNK9C1,WeatherMultiple,COMPSCI 700,"University courses only,Self taught (writing code not just for course exercises)",LARGE,MEDIUM,2,1,"10
9
8
7
6",1,3,1,false,1,"[1, 2, 3]",1,171.36,"The main method receive an array as input, if the array is empty, then the main method will return null. if the array is not empty, it will calculate the sum of all numbers in the array that are less than equal to 10.0, and will also count the number of such numbers in that array, and then calculate the mean and return as double.",High,22.809,2,1,"Calculate the average rainfall possibility, average humidity and something I forget (number of sunny day?) from a set of weather records.",HIGH,1,1,0,0,0,0,0,0,0,0,1,209.928,182.14,"[3, 3, 3]",0,97.017,"[0, 0, 2]",0,66.871,"[1, 1, 2]",1,73.72,"[ [0,-999], [0,0], [1,2] ]",1,32.119,33-41,1,NA,NA,NA,29.525,NEUTRAL,NA,169.909,NEITHER,"The time-consuming task for me is to understand deep logic of the code, for example, what kinds of data should be regarded as ""valid"". In terms of this, I think neither of these two versions had explained enough.",NA,1605
